speed_0,speed_1,speed_2,speed_3,speed_4,speed_5,speed_6,speed_7,speed_8,speed_9,speed_10,speed_11,speed_12,speed_13,speed_14,speed_15,speed_16,speed_17,speed_18,speed_19,speed_20,speed_21,speed_22,speed_23,speed_24,speed_25,speed_26,speed_27,speed_28,speed_29,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15,density_16,density_17,density_18,density_19,density_20,density_21,density_22,density_23,density_24,density_25,density_26,density_27,density_28,density_29
8.57,9.47,30.0,30.0,30.0,13.95,10.98,11.01,11.09,9.29,7.32,2.9250000000000003,5.75,3.5925,3.28,5.58,30.0,6.89,2.67,4.376666666666666,3.435,2.93,8.39,10.06,5.953333333333332,6.395,7.84,8.65,10.52,7.45,0.04,0.04,0.0,0.0,0.0,0.02,0.04,0.02,0.02,0.04,0.06,0.08,0.02,0.08,0.06,0.04,0.0,0.04,0.1,0.06,0.04,0.04,0.02,0.02,0.06,0.04,0.04,0.02,0.04,0.02
4.83,9.315,30.0,10.965,7.675,10.065,10.71,30.0,11.89,4.6175,4.946666666666666,7.73,30.0,10.21,2.5,4.55,7.494999999999999,5.19,7.203333333333332,8.83,1.7100000000000002,4.425,5.2700000000000005,4.276666666666666,5.73,7.835000000000001,8.31,8.78,11.17,3.385,0.02,0.04,0.0,0.04,0.04,0.04,0.02,0.0,0.02,0.08,0.06,0.04,0.0,0.02,0.08,0.02,0.04,0.02,0.06,0.02,0.06,0.04,0.06,0.06,0.04,0.04,0.02,0.02,0.02,0.08
11.51,11.53,9.045,8.27,7.256666666666668,1.2833333333333332,3.0700000000000003,30.0,2.86,5.32,6.6,9.9,13.3,11.23,30.0,11.525,11.09,8.075,8.32,8.683333333333332,10.71,5.460000000000001,3.35,30.0,9.63,10.12,9.92,9.49,8.110000000000001,8.53,0.02,0.02,0.04,0.02,0.06,0.12,0.04,0.0,0.08,0.06,0.02,0.02,0.02,0.02,0.0,0.04,0.02,0.04,0.04,0.06,0.02,0.08,0.06,0.0,0.02,0.04,0.02,0.04,0.06,0.02
6.57,7.039999999999999,7.41,11.38,10.52,7.163333333333332,8.89,11.155,10.74,11.395,12.12,11.04,9.015,8.43,8.52,12.03,11.795,5.2,5.3125,5.38,4.633333333333334,8.06,4.994999999999999,3.3549999999999995,7.215,9.56,30.0,5.755000000000001,7.12,6.14,0.06,0.04,0.02,0.02,0.02,0.06,0.04,0.04,0.02,0.04,0.02,0.02,0.04,0.04,0.04,0.02,0.04,0.02,0.08,0.04,0.06,0.02,0.08,0.08,0.04,0.02,0.0,0.04,0.02,0.02
12.67,6.36,5.4675,7.46,10.21,9.89,9.985,8.7,8.405000000000001,11.8,7.979999999999999,6.96,8.51,4.255,0.4840000000000001,4.39,6.035,2.6340000000000003,5.86,7.24,6.66,10.185,30.0,30.0,5.125,4.443333333333333,5.76,8.65,6.94,30.0,0.02,0.02,0.08,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.04,0.06,0.04,0.04,0.1,0.04,0.04,0.1,0.02,0.04,0.04,0.04,0.0,0.0,0.04,0.06,0.02,0.02,0.04,0.0
10.13,8.035,7.803333333333335,10.73,30.0,3.986666666666667,6.3,7.92,30.0,10.47,30.0,4.64,1.844,3.9933333333333336,7.63,8.254999999999999,9.32,2.2725,1.4575,4.565,5.71,6.8,9.16,11.18,10.4,10.91,10.3,9.403333333333334,9.84,8.459999999999999,0.02,0.04,0.06,0.02,0.0,0.06,0.04,0.02,0.0,0.02,0.0,0.1,0.1,0.06,0.02,0.04,0.02,0.08,0.08,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.02,0.06
9.23,12.04,6.796666666666668,7.01,6.32,8.32,9.5,9.11,9.3,9.81,30.0,0.8066666666666666,1.8233333333333333,2.225,5.925000000000002,9.17,30.0,30.0,10.489999999999998,12.06,12.76,10.015,2.0625,4.58,7.38,10.51,30.0,8.84,5.5200000000000005,6.87,0.02,0.02,0.06,0.04,0.06,0.02,0.04,0.04,0.04,0.04,0.0,0.12,0.06,0.04,0.04,0.02,0.0,0.0,0.04,0.04,0.02,0.04,0.08,0.06,0.04,0.02,0.0,0.02,0.06,0.02
7.494999999999999,9.475,30.0,11.7,30.0,10.82,30.0,8.583333333333334,7.763333333333333,5.9366666666666665,7.77,9.54,30.0,7.0,6.993333333333332,9.06,10.64,10.18,7.939999999999999,6.8,30.0,10.75,12.8,7.25,6.3900000000000015,1.155,0.8466666666666667,2.0900000000000003,5.305,30.0,0.04,0.04,0.0,0.02,0.0,0.02,0.0,0.06,0.06,0.06,0.02,0.04,0.0,0.02,0.06,0.04,0.02,0.02,0.04,0.06,0.0,0.02,0.02,0.04,0.06,0.12,0.12,0.06,0.04,0.0
8.58,7.68,8.69,6.565,8.385,5.28,5.84,30.0,12.535,30.0,30.0,2.72,4.253333333333333,6.56,5.9,0.466,2.096,6.82,6.895,4.373333333333334,6.1866666666666665,9.26,10.55,30.0,9.36,9.47,10.18,3.17,4.4375,6.23,0.04,0.04,0.02,0.04,0.04,0.06,0.02,0.0,0.04,0.0,0.0,0.08,0.06,0.02,0.02,0.1,0.1,0.02,0.04,0.06,0.06,0.02,0.02,0.0,0.02,0.04,0.02,0.02,0.08,0.02
11.74,13.7,9.02,8.719999999999999,9.555,8.605,9.38,8.31,6.806666666666667,9.23,9.63,9.73,8.476666666666668,9.01,8.725,7.11,8.86,4.369999999999999,5.513333333333333,8.67,9.01,9.18,9.375,9.96,11.16,10.88,11.345,9.62,11.54,12.23,0.02,0.02,0.02,0.06,0.04,0.04,0.06,0.02,0.06,0.02,0.02,0.02,0.06,0.04,0.04,0.06,0.04,0.08,0.06,0.04,0.02,0.02,0.04,0.04,0.04,0.02,0.04,0.02,0.02,0.02
