speed_0,speed_1,speed_2,speed_3,speed_4,speed_5,speed_6,speed_7,speed_8,speed_9,speed_10,speed_11,speed_12,speed_13,speed_14,speed_15,speed_16,speed_17,speed_18,speed_19,speed_20,speed_21,speed_22,speed_23,speed_24,speed_25,speed_26,speed_27,speed_28,speed_29,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15,density_16,density_17,density_18,density_19,density_20,density_21,density_22,density_23,density_24,density_25,density_26,density_27,density_28,density_29
3.52,5.53,8.28,3.175,0.996,2.765,5.69,6.635,8.31,6.946666666666666,5.54,3.846666666666666,4.635,4.89,6.9,2.1420000000000003,4.8966666666666665,6.7,1.0719999999999998,4.74,5.755,8.37,3.99,1.986,1.3575,5.06,0.14250000000000002,2.1575,6.24,7.33,0.08,0.02,0.02,0.04,0.1,0.04,0.04,0.04,0.02,0.06,0.06,0.06,0.04,0.06,0.02,0.1,0.06,0.02,0.1,0.02,0.04,0.02,0.02,0.1,0.08,0.02,0.08,0.08,0.04,0.02
7.43,9.445,9.1,1.4775,2.2133333333333334,4.22,5.3900000000000015,8.65,2.6975,1.136,3.12,30.0,6.35,0.19571428571428573,1.8175,3.13,4.503333333333333,4.976666666666667,2.106666666666667,1.368,4.42,5.18,7.975,5.656666666666666,6.815,8.98,30.0,13.0,8.445,6.0475,0.04,0.04,0.02,0.08,0.06,0.06,0.06,0.02,0.08,0.1,0.02,0.0,0.04,0.14,0.08,0.02,0.06,0.06,0.06,0.1,0.02,0.02,0.04,0.06,0.04,0.04,0.0,0.02,0.04,0.08
8.02,7.329999999999999,6.725,0.058333333333333334,3.1666666666666665,6.95,5.22,5.074999999999998,7.83,6.45,5.29,7.435,9.54,8.42,0.7914285714285715,1.47,4.38,5.49,6.79,9.59,8.16,4.773333333333333,6.51,4.69,5.633333333333333,1.665,3.753333333333334,3.693333333333333,5.285,6.79,0.02,0.06,0.04,0.12,0.06,0.02,0.06,0.04,0.02,0.06,0.06,0.04,0.04,0.02,0.14,0.1,0.04,0.04,0.02,0.02,0.02,0.06,0.02,0.06,0.06,0.08,0.06,0.06,0.04,0.02
5.205,6.545,8.485,3.4400000000000004,0.6150000000000001,4.7799999999999985,7.475,2.7950000000000004,1.9166666666666667,6.22,6.25,7.58,8.82,9.15,6.215,8.22,9.19,10.42,1.412,2.3025,2.1,3.605,5.935,7.035,2.545,3.146666666666667,6.54,6.1099999999999985,4.906666666666667,4.58,0.08,0.04,0.04,0.08,0.12,0.04,0.04,0.04,0.06,0.02,0.06,0.02,0.04,0.02,0.08,0.02,0.02,0.02,0.1,0.08,0.08,0.04,0.04,0.04,0.08,0.06,0.02,0.04,0.06,0.02
1.4183333333333332,0.5975,5.4849999999999985,7.07,5.896666666666667,6.535,6.636666666666668,8.66,10.6,8.9,10.9,6.375,0.54,3.6833333333333336,6.12,7.54,4.8533333333333335,4.81,0.2433333333333333,3.055,5.1099999999999985,7.61,7.74,7.485,3.378,2.1275,1.7966666666666666,5.745,6.395,7.0,0.12,0.08,0.04,0.02,0.06,0.04,0.06,0.02,0.02,0.04,0.02,0.04,0.1,0.06,0.02,0.02,0.06,0.04,0.12,0.04,0.04,0.02,0.02,0.04,0.1,0.08,0.06,0.04,0.04,0.04
5.2700000000000005,6.6400000000000015,2.1333333333333333,2.4,3.785,30.0,8.54,9.86,9.35,8.940000000000003,7.37,4.416666666666667,4.153333333333333,2.183333333333333,7.51,9.9,8.58,4.895,6.81,8.165,7.13,0.04833333333333333,0.16125,0.6749999999999999,2.5733333333333333,5.19,6.76,6.135,7.8,4.1675,0.06,0.04,0.06,0.08,0.04,0.0,0.02,0.02,0.02,0.04,0.04,0.06,0.06,0.06,0.04,0.02,0.02,0.04,0.02,0.04,0.06,0.12,0.16,0.12,0.06,0.02,0.02,0.04,0.04,0.08
1.5625,2.466666666666667,5.0200000000000005,1.236,4.44,3.306666666666666,5.5950000000000015,7.86,30.0,10.81,4.3933333333333335,5.246666666666667,6.666666666666668,7.0950000000000015,4.99,5.283333333333333,5.3,10.65,8.285,6.713333333333334,9.91,10.46,10.15,1.2533333333333332,1.08,3.48,1.186,4.17,6.54,7.0150000000000015,0.08,0.06,0.06,0.1,0.04,0.06,0.04,0.02,0.0,0.02,0.06,0.06,0.06,0.04,0.04,0.06,0.02,0.02,0.04,0.06,0.02,0.04,0.02,0.12,0.08,0.06,0.1,0.06,0.02,0.04
5.243333333333333,3.213333333333333,1.8,8.74,7.81,9.55,30.0,1.735,0.882,4.71,6.585,7.97,9.4,9.84,5.115,5.256666666666667,1.94,4.25,7.415,8.7,7.95,2.81,1.1166666666666667,1.4325,3.1050000000000004,1.065,2.7133333333333334,3.895,5.19,6.445,0.06,0.06,0.06,0.02,0.04,0.02,0.0,0.08,0.1,0.06,0.04,0.02,0.02,0.04,0.04,0.06,0.1,0.04,0.04,0.04,0.02,0.06,0.12,0.08,0.04,0.08,0.06,0.04,0.02,0.04
6.746666666666667,7.555,2.34,2.7325,1.926,3.44,6.77,5.515,8.54,8.364999999999998,7.745,8.7,12.07,4.64,5.28,8.555,8.893333333333333,9.42,2.5775,3.42,6.68,5.51,0.3385714285714286,1.232,2.82,5.06,30.0,8.28,7.925,5.0625,0.06,0.04,0.04,0.08,0.1,0.06,0.02,0.04,0.02,0.04,0.04,0.04,0.02,0.06,0.06,0.04,0.06,0.02,0.08,0.04,0.02,0.04,0.14,0.1,0.02,0.06,0.0,0.04,0.04,0.08
5.74,9.88,7.125,3.4779999999999998,5.330000000000001,6.135,7.67,9.625,6.383333333333333,0.9983333333333334,2.655,3.44,2.545,5.4849999999999985,5.675000000000002,7.285,9.09,5.9275,7.175000000000002,8.475,2.9075,1.045,4.11,1.202,3.27,7.175,10.25,11.37,7.653333333333332,5.276666666666666,0.02,0.02,0.04,0.1,0.06,0.04,0.02,0.04,0.06,0.12,0.08,0.02,0.04,0.04,0.04,0.04,0.02,0.08,0.04,0.04,0.08,0.12,0.02,0.1,0.02,0.04,0.02,0.02,0.06,0.06
6.1433333333333335,1.648,5.0950000000000015,4.585,7.32,6.21,6.46,6.22,7.325,1.385,2.37,3.7366666666666655,5.95,4.79,0.185,2.2475,3.8433333333333337,5.85,7.19,5.206666666666667,7.3,7.55,5.513333333333333,6.0474999999999985,9.75,6.8450000000000015,2.2266666666666666,5.42,8.8,7.66,0.06,0.1,0.04,0.04,0.02,0.04,0.06,0.04,0.04,0.12,0.08,0.06,0.04,0.04,0.08,0.08,0.06,0.02,0.02,0.06,0.04,0.02,0.06,0.08,0.02,0.04,0.06,0.04,0.02,0.02
2.41,0.9514285714285714,2.1466666666666665,5.3450000000000015,6.77,30.0,8.315000000000001,2.4479999999999995,4.316666666666666,8.19,10.15,10.09,8.14,10.19,9.133333333333333,2.026666666666667,1.29,4.38,6.0233333333333325,9.22,10.26,7.75,4.3275,0.7866666666666667,3.3766666666666665,5.82,7.9,6.15,6.11,9.19,0.1,0.14,0.06,0.04,0.02,0.0,0.04,0.1,0.06,0.02,0.02,0.02,0.04,0.02,0.06,0.06,0.08,0.04,0.06,0.02,0.02,0.04,0.08,0.12,0.06,0.04,0.02,0.04,0.04,0.04
6.135,8.535,7.86,7.255000000000001,7.2666666666666675,8.92,10.13,10.04,8.575,7.8599999999999985,0.3075,1.6725,4.753333333333333,6.07,7.93,30.0,0.934,0.628,1.895,4.3,4.1066666666666665,5.585,7.52,2.63,8.8,8.54,7.465,2.145,2.6,4.93,0.04,0.04,0.02,0.04,0.06,0.04,0.02,0.02,0.04,0.06,0.08,0.08,0.06,0.02,0.02,0.0,0.1,0.1,0.08,0.04,0.06,0.04,0.04,0.1,0.02,0.04,0.04,0.08,0.08,0.04
