speed_0,speed_1,speed_2,speed_3,speed_4,speed_5,speed_6,speed_7,speed_8,speed_9,speed_10,speed_11,speed_12,speed_13,speed_14,speed_15,speed_16,speed_17,speed_18,speed_19,speed_20,speed_21,speed_22,speed_23,speed_24,speed_25,speed_26,speed_27,speed_28,speed_29,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15,density_16,density_17,density_18,density_19,density_20,density_21,density_22,density_23,density_24,density_25,density_26,density_27,density_28,density_29
6.6850000000000005,9.11,8.41,30.0,10.106666666666667,11.93,11.385,30.0,30.0,30.0,12.2,10.425,9.235,8.504999999999999,10.26,30.0,9.09,7.933333333333334,5.5950000000000015,0.8699999999999999,3.5966666666666662,6.87,6.84,8.620000000000001,9.42,10.245,9.04,10.67,6.29,3.44,0.04,0.02,0.02,0.0,0.06,0.02,0.04,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.02,0.0,0.02,0.06,0.04,0.1,0.06,0.02,0.04,0.04,0.02,0.04,0.04,0.04,0.02,0.08
7.925000000000002,6.72,7.365,3.175,6.22,10.16,5.62,6.29,6.51,30.0,9.82,10.81,5.352499999999999,1.7000000000000002,4.21,7.51,8.705,9.78,11.67,11.36,9.055,1.85,5.22,6.21,6.925000000000002,9.01,30.0,12.09,30.0,30.0,0.04,0.06,0.04,0.04,0.02,0.02,0.08,0.04,0.04,0.0,0.02,0.02,0.08,0.08,0.02,0.02,0.04,0.02,0.02,0.02,0.04,0.08,0.04,0.02,0.04,0.02,0.0,0.04,0.0,0.0
8.86,7.23,7.64,10.66,30.0,12.67,12.96,30.0,6.575,4.83,9.195,8.92,30.0,30.0,13.2,5.876666666666668,7.425,4.6075,5.19,30.0,9.655,10.01,9.44,7.056666666666668,1.9240000000000002,3.816666666666667,30.0,7.49,9.09,10.59,0.02,0.04,0.04,0.04,0.0,0.02,0.02,0.0,0.04,0.06,0.04,0.02,0.0,0.0,0.02,0.06,0.04,0.08,0.04,0.0,0.04,0.02,0.02,0.06,0.1,0.06,0.0,0.04,0.06,0.02
12.39,10.415,9.58,11.23,30.0,5.4975,5.536666666666666,6.0,8.06,9.93,7.7,5.4700000000000015,5.02,5.6033333333333335,7.574999999999998,8.04,0.24,2.99,4.61,8.24,10.04,8.5,30.0,7.473333333333334,8.09,5.824999999999998,5.86,9.23,30.0,12.27,0.02,0.04,0.04,0.04,0.0,0.08,0.06,0.02,0.02,0.02,0.02,0.04,0.04,0.06,0.04,0.02,0.06,0.08,0.02,0.02,0.02,0.02,0.0,0.06,0.04,0.04,0.04,0.02,0.0,0.02
30.0,9.59,6.846666666666668,4.98,6.5,9.63,8.61,9.76,11.31,11.71,12.84,12.17,9.99,7.27,8.395,12.79,13.09,11.82,8.705,9.385,9.05,8.504999999999999,2.7675,6.165,9.17,10.05,8.375,9.05,9.92,9.565,0.0,0.04,0.06,0.06,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.06,0.04,0.02,0.02,0.02,0.04,0.04,0.02,0.04,0.08,0.04,0.02,0.02,0.04,0.04,0.02,0.04
8.825,9.375,8.0,7.97,11.55,12.57,12.54,12.79,30.0,12.05,10.575,11.575,8.24,8.406666666666666,7.590000000000002,6.9,8.625,12.19,30.0,30.0,12.670000000000002,10.175,9.41,6.505,2.543333333333333,4.9350000000000005,6.626666666666668,6.12,30.0,7.475,0.04,0.04,0.06,0.02,0.02,0.02,0.02,0.02,0.0,0.04,0.04,0.04,0.02,0.06,0.06,0.04,0.04,0.02,0.0,0.0,0.04,0.04,0.04,0.04,0.06,0.04,0.06,0.02,0.0,0.04
11.63,10.065,11.22,2.1633333333333336,3.713333333333333,9.28,4.955,6.995,8.08,8.355,9.455,30.0,6.93,8.07,8.95,10.45,7.425,9.225,8.61,30.0,30.0,12.13,6.135,7.52,10.01,5.93,5.6375,7.575,8.96,30.0,0.02,0.04,0.02,0.06,0.06,0.02,0.04,0.04,0.02,0.04,0.04,0.0,0.04,0.02,0.06,0.02,0.04,0.04,0.02,0.0,0.0,0.02,0.08,0.06,0.02,0.02,0.08,0.04,0.04,0.0
2.2033333333333336,6.15,3.4599999999999995,4.645,7.44,10.11,9.65,9.415,30.0,30.0,11.65,30.0,30.0,12.86,8.33,9.06,11.08,9.7,6.805,2.0025,4.233333333333333,6.78,30.0,30.0,12.93,10.735,11.364999999999998,9.945,9.49,0.82,0.06,0.04,0.06,0.04,0.02,0.02,0.04,0.04,0.0,0.0,0.02,0.0,0.0,0.02,0.06,0.04,0.02,0.04,0.04,0.08,0.06,0.02,0.0,0.0,0.02,0.04,0.04,0.04,0.02,0.12
9.555,6.553333333333333,3.13,4.77,6.875,7.91,9.57,30.0,14.2,15.27,14.09,12.33,9.325,9.37,10.14,11.56,30.0,12.51,10.065,11.69,11.85,11.58,6.18,5.7799999999999985,9.135,4.723333333333334,6.210000000000001,7.91,10.87,6.710000000000001,0.04,0.06,0.04,0.04,0.04,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.0,0.02,0.04,0.02,0.02,0.02,0.08,0.04,0.04,0.06,0.06,0.04,0.02,0.06
12.08,12.36,30.0,7.26,7.96,5.323333333333334,5.8900000000000015,7.093333333333334,30.0,9.36,9.48,12.87,10.7,4.874,5.4350000000000005,9.185,30.0,12.39,12.13,10.37,3.2266666666666666,30.0,8.725,30.0,11.22,2.6125,2.505,4.573333333333334,6.300000000000002,8.21,0.02,0.02,0.0,0.04,0.02,0.06,0.04,0.06,0.0,0.04,0.02,0.02,0.02,0.1,0.04,0.04,0.0,0.02,0.02,0.02,0.06,0.0,0.04,0.0,0.02,0.08,0.08,0.06,0.04,0.02
