speed_0,speed_1,speed_2,speed_3,speed_4,speed_5,speed_6,speed_7,speed_8,speed_9,speed_10,speed_11,speed_12,speed_13,speed_14,speed_15,speed_16,speed_17,speed_18,speed_19,speed_20,speed_21,speed_22,speed_23,speed_24,speed_25,speed_26,speed_27,speed_28,speed_29,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15,density_16,density_17,density_18,density_19,density_20,density_21,density_22,density_23,density_24,density_25,density_26,density_27,density_28,density_29
7.72,8.03,9.83,30.0,10.19,11.7,3.63,1.214,3.4525,7.06,7.93,1.35,3.613333333333333,5.405,8.424999999999999,1.25,2.2575000000000003,3.77,6.505,5.4700000000000015,1.34,4.596666666666667,1.11,4.995,5.5,7.18,6.54,8.09,8.32,3.843333333333333,0.04,0.02,0.04,0.0,0.04,0.02,0.06,0.1,0.08,0.02,0.02,0.08,0.06,0.04,0.04,0.02,0.08,0.04,0.04,0.04,0.1,0.06,0.08,0.04,0.04,0.04,0.04,0.02,0.04,0.06
1.935,2.9675,5.265,5.495,6.699999999999998,30.0,0.105,2.6133333333333333,5.513333333333333,6.09,7.7,10.39,2.5475,3.88,6.276666666666666,3.435,0.9440000000000001,4.2650000000000015,6.74,8.56,9.54,30.0,4.115,5.193333333333333,6.08,6.85,9.44,30.0,2.67,6.135,0.08,0.08,0.04,0.04,0.04,0.0,0.12,0.06,0.06,0.02,0.02,0.02,0.08,0.06,0.06,0.04,0.1,0.04,0.04,0.02,0.04,0.0,0.08,0.06,0.02,0.02,0.04,0.0,0.08,0.04
6.765,9.96,10.14,7.02,7.793333333333334,10.68,7.85,2.9560000000000004,5.6,9.48,9.75,8.71,8.2,5.6000000000000005,4.7875,7.345,7.18,6.0166666666666675,3.04,3.19,4.835,4.485,1.9980000000000002,4.215,6.323333333333332,6.565,6.905,1.9733333333333332,7.285,5.880000000000001,0.04,0.02,0.04,0.02,0.06,0.02,0.04,0.1,0.04,0.02,0.02,0.04,0.02,0.08,0.08,0.04,0.04,0.06,0.06,0.06,0.04,0.04,0.1,0.04,0.06,0.04,0.04,0.06,0.04,0.04
5.989999999999998,5.646666666666667,6.506666666666668,7.2799999999999985,6.376666666666666,6.52,7.875,6.699999999999998,6.376666666666666,7.655,7.586666666666666,6.243333333333332,3.665,6.47,2.464,1.9233333333333336,5.245,8.39,10.3,8.135,8.98,12.204999999999998,13.42,10.66,9.01,3.135,1.11,3.53,5.93,7.89,0.06,0.06,0.06,0.04,0.06,0.04,0.04,0.04,0.06,0.04,0.06,0.06,0.08,0.02,0.1,0.06,0.04,0.02,0.02,0.04,0.02,0.04,0.02,0.02,0.04,0.08,0.08,0.06,0.02,0.02
6.006666666666668,6.795,8.205,6.956666666666668,7.5,6.895,7.88,9.89,7.303333333333334,5.5,3.3275,2.99,4.64,7.97,8.53,30.0,7.2666666666666675,5.193333333333333,6.246666666666667,2.138,2.3025,4.0600000000000005,5.37,9.225,7.85,6.925000000000002,6.035,6.289999999999999,8.53,10.11,0.06,0.04,0.04,0.06,0.04,0.04,0.06,0.02,0.06,0.04,0.08,0.06,0.02,0.06,0.02,0.0,0.06,0.06,0.06,0.1,0.08,0.04,0.02,0.04,0.02,0.04,0.08,0.06,0.02,0.02
6.3,6.736666666666667,30.0,10.98,9.13,5.539999999999999,7.625,9.085,6.1,6.67,0.27,3.9875,6.39,7.53,1.2825,2.2925,3.526666666666667,3.96,7.42,8.85,8.81,10.65,9.39,9.345,5.926666666666668,4.876666666666666,7.63,5.115,6.186666666666667,6.63,0.06,0.06,0.0,0.02,0.04,0.08,0.04,0.04,0.04,0.04,0.1,0.08,0.02,0.02,0.08,0.08,0.06,0.04,0.02,0.04,0.04,0.02,0.04,0.04,0.06,0.06,0.04,0.04,0.06,0.04
3.333333333333333,6.33,5.215,3.67,8.54,11.72,11.2,7.7799999999999985,0.9666666666666668,4.593333333333334,1.7766666666666666,5.275,8.22,1.73,4.99,9.13,4.6675,6.07,7.0600000000000005,8.95,10.27,2.545,5.045,8.15,1.35,2.6166666666666667,6.26,7.76,7.7,0.735,0.06,0.02,0.04,0.06,0.02,0.02,0.02,0.04,0.12,0.06,0.06,0.04,0.02,0.1,0.02,0.02,0.08,0.04,0.04,0.02,0.02,0.04,0.04,0.02,0.12,0.06,0.02,0.04,0.02,0.12
2.6,5.085,5.92,0.3983333333333333,1.99,4.75,4.86,1.905,1.4425,4.27,3.49,0.24600000000000002,2.9475,5.13,30.0,8.155000000000001,10.58,8.91,8.78,9.47,8.344999999999999,4.92,7.604999999999999,7.453333333333332,9.365,30.0,7.67,7.7200000000000015,5.6549999999999985,5.786666666666666,0.08,0.04,0.02,0.12,0.08,0.02,0.06,0.08,0.08,0.02,0.04,0.1,0.08,0.02,0.0,0.04,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.0,0.02,0.04,0.04,0.06
2.766666666666667,5.71,5.3900000000000015,4.855,8.77,10.09,11.64,11.81,10.035,6.785,0.2857142857142857,2.2466666666666666,4.956666666666667,6.75,6.76,9.24,9.06,1.52,1.1840000000000002,3.95,7.19,9.24,9.72,7.525,5.1875,4.37,2.568,3.45,6.605,2.89,0.06,0.02,0.06,0.04,0.02,0.02,0.02,0.02,0.04,0.04,0.14,0.06,0.06,0.02,0.04,0.02,0.02,0.1,0.1,0.04,0.02,0.02,0.02,0.04,0.08,0.04,0.1,0.04,0.04,0.06
9.88,8.785,8.36,8.58,8.24,6.5474999999999985,3.86,5.79,7.5,3.115,1.8533333333333333,6.92,7.119999999999999,0.784,2.643333333333333,6.49,6.305,0.965,3.0675,5.079999999999999,7.465,8.16,30.0,6.77,5.3,6.385,7.4849999999999985,6.380000000000001,6.756666666666668,8.08,0.02,0.04,0.02,0.06,0.04,0.08,0.08,0.04,0.04,0.04,0.06,0.02,0.04,0.1,0.06,0.02,0.04,0.12,0.08,0.06,0.04,0.02,0.0,0.04,0.04,0.04,0.04,0.04,0.06,0.02
9.38,1.978,3.266666666666667,3.9525,3.71,3.15,4.096666666666667,8.36,30.0,6.9366666666666665,6.195,5.1825,4.8025,5.246666666666667,7.88,4.866666666666667,0.6514285714285715,2.793333333333333,5.24,7.2799999999999985,30.0,11.37,11.59,30.0,12.11,9.03,3.858,6.92,30.0,9.07,0.02,0.1,0.06,0.08,0.04,0.04,0.06,0.04,0.0,0.06,0.04,0.08,0.08,0.06,0.02,0.06,0.14,0.06,0.02,0.04,0.0,0.02,0.04,0.0,0.02,0.04,0.1,0.04,0.0,0.04
3.8533333333333335,7.955,9.4,11.93,30.0,4.92,5.21,3.4800000000000004,1.01,5.09,2.5325,4.073333333333333,0.6625,0.958,4.5,6.04,7.67,8.3,8.053333333333333,3.703333333333333,5.696666666666666,10.13,7.9700000000000015,8.575,10.72,5.526666666666667,1.335,5.806666666666667,9.53,9.17,0.06,0.04,0.02,0.02,0.0,0.02,0.1,0.06,0.12,0.02,0.08,0.06,0.08,0.1,0.02,0.02,0.02,0.02,0.06,0.06,0.06,0.02,0.04,0.04,0.02,0.06,0.08,0.06,0.02,0.02
