speed_0,speed_1,speed_2,speed_3,speed_4,speed_5,speed_6,speed_7,speed_8,speed_9,speed_10,speed_11,speed_12,speed_13,speed_14,speed_15,speed_16,speed_17,speed_18,speed_19,speed_20,speed_21,speed_22,speed_23,speed_24,speed_25,speed_26,speed_27,speed_28,speed_29,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15,density_16,density_17,density_18,density_19,density_20,density_21,density_22,density_23,density_24,density_25,density_26,density_27,density_28,density_29
12.27,13.71,10.18,8.62,6.145,6.8450000000000015,6.91,10.09,3.443333333333333,1.7899999999999998,4.65,1.31,3.0700000000000003,6.045,6.73,9.12,9.25,11.52,8.385,7.6400000000000015,0.7433333333333333,5.363333333333333,4.165,1.865,5.32,5.48,6.04,8.655000000000001,9.83,9.6,0.02,0.02,0.02,0.02,0.08,0.04,0.04,0.02,0.06,0.1,0.04,0.1,0.04,0.04,0.02,0.02,0.02,0.02,0.04,0.04,0.12,0.06,0.04,0.08,0.02,0.06,0.02,0.04,0.02,0.04
6.87,0.38833333333333336,2.895,5.14,7.9,1.16,1.02,4.546666666666667,6.86,7.45,3.09,5.489999999999998,7.7,9.405,9.18,7.66,8.053333333333333,8.11,7.895,5.1099999999999985,8.11,8.86,10.17,7.45,0.882,2.98,7.055,6.35,4.255,4.205,0.02,0.12,0.04,0.04,0.02,0.06,0.08,0.06,0.02,0.02,0.04,0.06,0.02,0.04,0.02,0.02,0.06,0.04,0.04,0.04,0.02,0.04,0.04,0.02,0.1,0.04,0.04,0.02,0.08,0.04
2.7825,5.975,8.605,3.775,4.84,1.3139999999999998,3.17,5.635,7.92,2.6166666666666667,3.5700000000000003,4.8100000000000005,7.28,30.0,11.16,7.58,0.7633333333333333,2.345,6.71,8.85,7.775,8.63,0.28,4.0150000000000015,5.44,8.535,11.31,10.96,8.34,5.783333333333334,0.08,0.04,0.04,0.04,0.06,0.1,0.04,0.04,0.02,0.06,0.06,0.04,0.04,0.0,0.02,0.04,0.12,0.04,0.02,0.02,0.04,0.02,0.1,0.04,0.02,0.04,0.02,0.02,0.02,0.06
9.455,10.07,7.34,1.482,5.13,8.465,30.0,2.985,4.017999999999999,4.753333333333334,5.65,5.78,2.85,5.6549999999999985,30.0,1.82,2.855,4.5,3.5033333333333334,5.74,7.314999999999999,9.44,9.31,1.16,3.7466666666666666,6.29,6.18,8.29,8.43,8.2,0.04,0.02,0.04,0.1,0.02,0.04,0.0,0.08,0.1,0.06,0.04,0.06,0.06,0.04,0.0,0.1,0.04,0.04,0.06,0.04,0.04,0.02,0.02,0.06,0.06,0.02,0.02,0.02,0.02,0.04
8.25,7.744999999999999,3.248,2.6733333333333333,0.28500000000000003,2.68,4.994999999999999,6.105,10.73,30.0,30.0,30.0,6.766666666666667,1.4939999999999998,4.775,6.57,8.46,30.0,30.0,10.035,1.2983333333333331,1.3525,5.52,7.865,8.08,30.0,9.576666666666666,10.3,4.496666666666666,7.18,0.04,0.04,0.1,0.06,0.16,0.02,0.04,0.04,0.02,0.0,0.0,0.0,0.06,0.1,0.04,0.04,0.02,0.0,0.0,0.04,0.12,0.08,0.04,0.04,0.02,0.0,0.06,0.02,0.06,0.04
7.53,6.0924999999999985,7.465,9.72,10.5,2.07,0.8142857142857142,3.4500000000000006,5.8,7.9,9.18,1.622,0.6714285714285715,2.34,5.49,4.83,3.38,6.18,6.09,30.0,9.195,8.415,10.9,9.625,11.49,11.87,11.705,5.96,6.446666666666666,8.43,0.02,0.08,0.04,0.02,0.02,0.06,0.14,0.06,0.02,0.02,0.02,0.1,0.14,0.06,0.04,0.04,0.04,0.02,0.04,0.0,0.04,0.04,0.02,0.04,0.02,0.02,0.04,0.02,0.06,0.02
4.453333333333333,7.65,9.29,30.0,9.95,8.969999999999997,8.386666666666667,8.655000000000001,8.51,9.88,7.875,8.963333333333333,11.04,30.0,6.45,6.07,8.945,5.706666666666666,5.156666666666666,1.165,2.8633333333333333,5.16,6.13,10.58,9.37,7.553333333333335,4.0075,1.59,5.26,6.16,0.06,0.04,0.04,0.0,0.02,0.04,0.06,0.04,0.04,0.02,0.04,0.06,0.02,0.0,0.06,0.06,0.04,0.06,0.06,0.08,0.06,0.02,0.02,0.02,0.04,0.06,0.08,0.08,0.04,0.04
8.255,9.225,7.793333333333332,9.505,9.25,30.0,3.0860000000000003,1.1366666666666665,0.696,4.98,5.88,7.12,10.63,10.21,5.245,5.78,8.78,8.5,0.156,1.334,3.27,5.155,7.43,9.03,7.86,3.905,7.3450000000000015,10.04,9.98,10.97,0.04,0.04,0.06,0.04,0.04,0.0,0.1,0.12,0.1,0.04,0.02,0.02,0.02,0.02,0.04,0.06,0.02,0.02,0.1,0.1,0.04,0.04,0.04,0.02,0.02,0.04,0.04,0.02,0.02,0.02
3.526666666666667,6.26,30.0,30.0,30.0,10.04,9.07,11.84,9.84,7.52,9.665,12.07,7.880000000000001,5.91,5.21,6.105,0.16333333333333333,3.02,5.445,5.24,30.0,4.43,1.4275000000000002,6.17,3.225,2.03,4.716666666666667,4.05,6.725,2.31,0.06,0.04,0.0,0.0,0.0,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.04,0.08,0.04,0.04,0.12,0.06,0.04,0.02,0.0,0.06,0.08,0.02,0.04,0.1,0.06,0.08,0.04,0.08
8.76,2.574,5.63,7.56,11.47,5.34,4.800000000000002,8.73,8.81,1.38,2.9266666666666663,4.8133333333333335,7.63,9.07,30.0,7.77,8.629999999999999,8.95,8.44,5.323333333333333,6.7333333333333325,3.935,5.55,0.9816666666666666,1.82,5.46,5.816666666666666,6.87,8.06,30.0,0.02,0.1,0.06,0.02,0.02,0.02,0.08,0.04,0.02,0.12,0.06,0.06,0.02,0.02,0.0,0.02,0.04,0.04,0.02,0.06,0.06,0.04,0.06,0.12,0.04,0.04,0.06,0.02,0.02,0.0
